luminosity = 36813.715
channels = 84
sample = comb

channel =            bin1    bin2    bin3    bin4    bin5    bin6    bin7    bin8    bin9    bin10   bin11   bin12   bin13   bin14   bin15   bin16   bin17   bin18   bin19   bin20   bin21   bin22   bin23   bin24   bin25   bin26   bin27   bin28   bin29   bin30   bin31   bin32   bin33   bin34   bin35   bin36   bin37   bin38   bin39   bin40   bin41   bin42   bin43   bin44   bin45   bin46   bin47   bin48   bin49   bin50   bin51   bin52   bin53   bin54   bin55   bin56   bin57   bin58   bin59   bin60   bin61   bin62   bin63   bin64   bin65   bin66   bin67   bin68   bin69   bin70   bin71   bin72   bin73   bin74   bin75   bin76   bin77   bin78   bin79   bin80   bin81   bin82   bin83   bin84   
 syst_unc_ISR_dn =   0.026    0.022    0.021    0.036    0.039    0.030    0.033    0.027    0.029    0.032    0.013    0.055    0.013    0.044    0.048    0.038    0.010    0.049    0.052    0.022    0.026    0.025    0.025    0.062    0.017    0.088    0.024    0.048    0.046    0.020    0.012    0.006    0.036    0.094    0.037    0.091    0.028    0.018    0.014    0.038    0.067    0.044    0.039    0.062    0.007    0.061    0.040    0.044    0.078    0.045    0.067    0.043    0.037    0.075    0.111    0.024    0.030    0.021    0.065    0.051    0.074    0.039    0.039    0.044    0.047    0.060    0.021    0.091    0.132    0.005    0.040    0.068    0.075    0.073    0.043    0.076    0.001    0.014    0.077    0.011    0.085    0.186    0.004    0.063  

 syst_unc_bTag_up =  0.000    0.001    0.003    0.005    0.005    0.000    0.003    0.003    0.003    0.001    0.001    0.001    0.003    0.002    0.002    0.002    0.003    0.002    0.003    0.003    0.001    0.001    0.002    0.006    0.005    0.004    0.001    0.005    0.001    0.014    0.015    0.008    0.003    0.005    0.006    0.001    0.001    0.002    0.002    0.001    0.017    0.005    0.006    0.003    0.004    0.003    0.013    0.010    0.001    0.003    0.004    0.003    0.001    0.000    0.002    0.000    0.003    0.008    0.002    0.001    0.000    0.004    0.000    0.001    0.001    0.000    0.001    0.004    0.000    0.014    0.003    0.012    0.013    0.010    0.002    0.010    0.001    0.002    0.005    0.002    0.004    0.005    0.031    0.004  
 syst_unc_bTag_dn =  0.041    0.182    0.297    0.646    0.646    0.052    0.203    0.432    0.004    0.126    0.179    0.264    0.646    0.002    0.432    0.432    0.346    0.002    0.003    0.646    0.001    0.061    0.233    0.479    0.005    0.827    0.199    0.544    0.646    0.015    0.479    0.327    0.544    0.544    0.006    0.002    0.001    0.159    0.432    0.646    0.827    0.646    0.479    0.003    0.827    0.544    0.827    0.827    0.159    0.346    0.827    0.827    0.240    0.327    0.827    0.827    0.003    0.008    0.157    0.311    0.827    0.827    0.255    0.646    0.646    0.827    0.827    0.005    0.001    0.014    0.432    0.012    0.013    0.646    0.002    0.544    0.646    0.002    0.005    0.827    0.827    0.005    0.034    0.004  

 syst_unc_pdfUnc_up = 0.001    0.013    0.385    0.004    0.032    0.001    0.004    0.001    0.016    0.001    0.000    0.001    0.024    0.018    0.015    0.000    0.000    0.032    0.055    0.021    0.059    0.001    0.008    0.009    0.024    0.010    0.001    0.001    0.005    0.062    0.071    0.001    0.007    0.079    0.020    0.014    0.004    0.006    0.000    0.024    0.027    0.002    0.011    0.010    0.020    0.007    0.032    0.001    0.002    0.004    0.002    0.008    0.001    0.002    0.047    0.003    0.006    0.004    0.010    0.003    0.000    0.039    0.003    0.000    0.008    0.002    0.012    0.027    0.016    0.041    0.003    0.003    0.051    0.008    0.001    0.001    0.005    0.019    0.002    0.005    0.004    0.017    0.004    0.005  
 syst_unc_pdfUnc_dn = 0.002    0.000    0.442    0.009    0.022    0.003    0.004    0.002    0.002    0.007    0.001    0.003    0.002    0.007    0.037    0.003    0.008    0.031    0.039    0.036    0.046    0.001    0.012    0.005    0.009    0.019    0.005    0.000    0.005    0.084    0.263    0.004    0.004    0.041    0.016    0.008    0.011    0.002    0.000    0.005    0.032    0.002    0.011    0.024    0.004    0.009    0.038    0.065    0.000    0.002    0.014    0.017    0.002    0.001    0.015    0.005    0.002    0.019    0.004    0.001    0.007    0.006    0.000    0.002    0.000    0.009    0.031    0.052    0.016    0.026    0.002    0.000    0.044    0.004    0.001    0.009    0.015    0.020    0.029    0.009    0.005    0.049    0.002    0.005  

 syst_unc_metMag_up = 0.000    0.005    0.049    0.000    0.118    0.007    0.046    0.016    0.125    0.018    0.065    0.043    0.061    0.076    0.086    0.109    0.029    0.021    0.906    0.107    0.016    0.013    0.023    0.056    0.038    0.097    0.007    0.134    0.072    0.092    0.054    0.052    0.040    0.001    0.549    0.004    0.025    0.022    0.022    0.013    0.196    0.000    0.011    0.051    0.055    0.037    0.010    0.011    0.006    0.021    0.029    0.156    0.035    0.021    0.022    0.006    0.109    0.034    0.007    0.019    0.072    0.016    0.031    0.041    0.104    0.006    0.140    0.013    0.174    0.092    0.041    0.020    0.041    0.065    0.028    0.006    0.000    0.120    0.168    0.021    0.062    0.047    0.300    0.462  
 syst_unc_metMag_dn = 0.002    0.000    0.033    0.135    0.047    0.000    0.026    0.087    0.078    0.017    0.014    0.000    0.046    0.032    0.004    0.041    0.050    0.027    0.116    0.103    0.001    0.002    0.015    0.047    0.115    0.112    0.013    0.118    0.100    0.242    0.000    0.023    0.070    0.015    0.220    0.294    0.298    0.007    0.002    0.025    0.052    0.067    0.059    0.096    0.010    0.056    0.066    0.032    0.024    0.061    0.011    0.038    0.011    0.034    0.091    0.004    0.007    0.021    0.003    0.000    0.121    0.042    0.039    0.010    0.125    0.006    0.044    0.007    0.008    0.002    0.081    0.011    0.129    0.098    0.002    0.002    0.008    0.018    0.090    0.008    0.102    0.012    0.044    0.001  
