channel                   =     bin0     bin1     bin2     bin3     bin4     bin5     bin6     bin7     bin8     bin9    bin10    bin11    bin12    bin13    bin14    bin15    bin16    bin17    bin18    bin19    bin20    bin21    bin22    bin23    bin24    bin25    bin26    bin27    bin28    bin29    bin30    bin31    bin32    bin33    bin34    bin35    bin36    bin37    bin38    bin39    bin40    bin41    bin42    bin43    bin44    bin45    bin46    bin47    bin48    bin49    bin50    bin51    bin52    bin53    bin54    bin55    bin56    bin57    bin58    bin59    bin60    bin61    bin62    bin63    bin64    bin65    bin66    bin67    bin68    bin69    bin70    bin71    bin72    bin73    bin74    bin75    bin76    bin77    bin78    bin79    bin80    bin81    bin82    bin83
syst_unc_shape_stat_up    =  0.09000  0.10600  0.16900  0.19100  0.35800  0.09300  0.10600  0.16900  0.18200  0.12900  0.13000  0.16900  0.17100  0.20600  0.20600  0.20600  0.20900  0.35800  0.36500  0.35600  0.35000  0.21800  0.21800  0.21800  0.21800  0.34600  0.21800  0.21800  0.21800  0.21800  0.21800  0.21800  0.21800  0.21800  0.42100  0.28600  0.35600  0.21800  0.21800  0.21800  0.21800  0.21800  0.21800  0.22000  0.21800  0.32200  0.24600  0.21800  0.31800  0.20000  0.20800  0.31100  0.23800  0.25400  0.20500  0.25000  0.20600  0.27600  0.23000  0.23500  0.46200  0.46200  0.23100  0.46200  0.46200  0.21800  0.28000  0.24400  0.21800  0.30200  0.46200  0.24200  0.46200  0.26600  0.46200  0.46200  0.46200  0.46200  0.46200  0.27400  1.00000  0.46200  1.00000  0.46200
syst_unc_shape_stat_dn    =  0.09000  0.10600  0.16900  0.19100  0.35800  0.09300  0.10600  0.16900  0.18200  0.12900  0.13000  0.16900  0.17100  0.20600  0.20600  0.20600  0.20900  0.35800  0.36500  0.35600  0.35000  0.21800  0.21800  0.21800  0.21800  0.34600  0.21800  0.21800  0.21800  0.21800  0.21800  0.21800  0.21800  0.21800  0.42100  0.28600  0.35600  0.21800  0.21800  0.21800  0.21800  0.21800  0.21800  0.22000  0.21800  0.32200  0.24600  0.21800  0.31800  0.20000  0.20800  0.31100  0.23800  0.25400  0.20500  0.25000  0.20600  0.27600  0.23000  0.23500  0.46200  0.46200  0.23100  0.46200  0.46200  0.21800  0.28000  0.24400  0.21800  0.30200  0.46200  0.24200  0.46200  0.26600  0.46200  0.46200  0.46200  0.46200  0.46200  0.27400  1.00000  0.46200  1.00000  0.46200
syst_unc_jeu_up           =  0.04568  0.01176  0.05788  0.09206  0.02050  0.06788  0.00834  0.01265  0.02246  0.09709  0.05022  0.00945  0.02685  0.18227  0.06889  0.07340  0.05204  0.00690  0.04551  0.10934  0.03451  0.06607  0.06766  0.01524  0.02613  0.09535  0.09695  0.10870  0.12739  0.09043  0.22565  0.04634  0.08567  0.07338  0.02098  0.06225  0.07331  0.09499  0.04595  0.05463  0.02579  0.09956  0.30166  0.00000  0.04809  0.00639  0.39308  0.07177  0.23507  0.10533  0.28512  0.04187  0.05630  0.17820  0.15956  0.15554  0.06345  0.17386  0.06401  0.71171  0.01147  0.91608  0.14090  1.07245  0.31882  0.11874  0.25162  0.33012  0.00000  0.21374  0.08871  0.22541  0.00000  0.00000  0.00000  0.00000  0.05915  0.50125 0.50125  0.00000  0.00000  0.35989  0.00000  0.00000
syst_unc_jeu_dn           =  0.04568  0.01176  0.05788  0.09206  0.02050  0.06788  0.00834  0.01265  0.02246  0.09709  0.05022  0.00945  0.02685  0.18227  0.06889  0.07340  0.05204  0.00690  0.04551  0.10934  0.03451  0.06607  0.06766  0.01524  0.02613  0.09535  0.09695  0.10870  0.12739  0.09043  0.22565  0.04634  0.08567  0.07338  0.02098  0.06225  0.07331  0.09499  0.04595  0.05463  0.02579  0.09956  0.30166  0.00000  0.04809  0.00639  0.39308  0.07177  0.23507  0.10533  0.28512  0.04187  0.05630  0.17820  0.15956  0.15554  0.06345  0.17386  0.06401  0.71171  0.01147  0.91608  0.14090  1.07245  0.31882  0.11874  0.25162  0.33012  0.00000  0.21374  0.08871  0.22541  0.00000  0.00000  0.00000  0.00000  0.05915 35.02069  0.50125  0.00000  0.00000  0.35989  0.00000  0.00000
syst_unc_meu_up           =  0.04986  0.04253  0.09329  0.12730  0.19824  0.01937  0.10816  0.12061  0.08607  0.03916  0.04299  0.06943  0.06499  0.18408  0.19231  0.02706  0.05048  0.10079  0.05955  0.07459  0.10776  0.03354  0.05659  0.17749  0.11314  0.10757  0.03309  0.12114  0.03390  0.09267  0.16369  0.05836  0.01546  0.09461  0.59436  0.17724  0.18044  0.05991  0.05710  0.16827  0.02216  0.09123  0.00000  0.39441  0.11045  0.10001  0.18367  0.11009  0.10725  0.18576  0.23610  0.18281  0.02763  0.10696  0.15238  0.21464  0.10540  0.04516  0.10825  0.14578  0.31966  0.02631  0.01947  0.27947  0.30034  0.04364  0.24071  0.17305  0.00000  0.19308  0.15926  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000
syst_unc_meu_dn           =  0.04986  0.04253  0.09329  0.12730  0.19824  0.01937  0.10816  0.12061  0.08607  0.03916  0.04299  0.06943  0.06499  0.18408  0.19231  0.02706  0.05048  0.10079  0.05955  0.07459  0.10776  0.03354  0.05659  0.17749  0.11314  0.10757  0.03309  0.12114  0.03390  0.09267  0.16369  0.05836  0.01546  0.09461  0.59436  0.17724  0.18044  0.05991  0.05710  0.16827  0.02216  0.09123  0.00000  0.39441  0.11045  0.10001  0.18367  0.11009  0.10725  0.18576  0.23610  0.18281  0.02763  0.10696  0.15238  0.21464  0.10540  0.04516  0.10825  0.14578  0.31966  0.02631  0.01947  0.27947  0.30034  0.04364  0.24071  0.17305  0.00000  0.19308  0.15926  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000
syst_unc_scale_up         =  0.00996  0.01236  0.01285  0.01768  0.02518  0.00722  0.00252  0.01469  0.03039  0.01578  0.00433  0.00813  0.02118  0.15643  0.05474  0.01780  0.02300  0.02913  0.05956  0.03968  0.03923  0.00233  0.01159  0.01769  0.04246  0.04432  0.00324  0.00033  0.01387  0.02019  0.07277  0.01634  0.01991  0.01770  0.09940  0.02972  0.04759  0.00600  0.00842  0.02073  0.02478  0.08023  0.05101  0.04973  0.03561  0.10757  0.17503  0.03197  0.03836  0.00657  0.03350  0.03850  0.01785  0.01133  0.02456  0.03700  0.01020  0.02932  0.00783  0.02398  0.04245  0.12288  0.01887  0.02754  0.00472  0.06459  0.01972  0.02224  0.04763  0.00234  0.01887  0.00513  0.05187  0.05092  0.05714  0.01324  0.10428  0.39072  0.02723  0.09344  0.00000  0.04932  0.00000  0.31319
syst_unc_scale_dn         =  0.00996  0.01236  0.01285  0.01768  0.02518  0.00722  0.00252  0.01469  0.03039  0.01578  0.00433  0.00813  0.02118  0.15643  0.05474  0.01780  0.02300  0.02913  0.05956  0.03968  0.03923  0.00233  0.01159  0.01769  0.04246  0.04432  0.00324  0.00033  0.01387  0.02019  0.07277  0.01634  0.01991  0.01770  0.09940  0.02972  0.04759  0.00600  0.00842  0.02073  0.02478  0.08023  0.05101  0.04973  0.03561  0.10757  0.17503  0.03197  0.03836  0.00657  0.03350  0.03850  0.01785  0.01133  0.02456  0.03700  0.01020  0.02932  0.00783  0.02398  0.04245  0.12288  0.01887  0.02754  0.00472  0.06459  0.01972  0.02224  0.04763  0.00234  0.01887  0.00513  0.05187  0.05092  0.05714  0.01324  0.10428  0.39072  0.02723  0.09344  0.00000  0.04932  0.00000  0.31319
syst_unc_pdf_up           =  0.00442  0.00375  0.01000  0.01861  0.02491  0.00266  0.00227  0.00580  0.00721  0.00476  0.00174  0.00936  0.01357  0.00197  0.04455  0.01229  0.01287  0.02882  0.02416  0.06658  0.02692  0.00474  0.01324  0.00361  0.02452  0.04994  0.00221  0.01073  0.01396  0.02881  0.03459  0.00289  0.01135  0.00849  0.00395  0.00294  0.03251  0.00985  0.00614  0.00283  0.00484  0.00846  0.02295  0.01869  0.01264  0.10447  0.06419  0.04687  0.00149  0.01324  0.08898  0.08499  0.01179  0.00705  0.01264  0.03603  0.01262  0.00116  0.00384  0.00642  0.05511  0.47673  0.00580  0.01635  0.01343  0.06313  0.02145  0.00407  0.02646  0.00670  0.00212  0.02505  0.01329  0.00938  0.01194  0.00727  0.01177  0.25185  0.01219  0.02774  0.00000  0.04846  0.00000  0.00151
syst_unc_pdf_dn           =  0.00442  0.00375  0.01000  0.01861  0.02491  0.00266  0.00227  0.00580  0.00721  0.00476  0.00174  0.00936  0.01357  0.00197  0.04455  0.01229  0.01287  0.02882  0.02416  0.06658  0.02692  0.00474  0.01324  0.00361  0.02452  0.04994  0.00221  0.01073  0.01396  0.02881  0.03459  0.00289  0.01135  0.00849  0.00395  0.00294  0.03251  0.00985  0.00614  0.00283  0.00484  0.00846  0.02295  0.01869  0.01264  0.10447  0.06419  0.04687  0.00149  0.01324  0.08898  0.08499  0.01179  0.00705  0.01264  0.03603  0.01262  0.00116  0.00384  0.00642  0.05511  0.47673  0.00580  0.01635  0.01343  0.06313  0.02145  0.00407  0.02646  0.00670  0.00212  0.02505  0.01329  0.00938  0.01194  0.00727  0.01177  0.25185  0.01219  0.02774  0.00000  0.04846  0.00000  0.00151
syst_unc_trig_up          =  0.00336  0.00701  0.00723  0.10988  0.06541  0.00298  0.00701  0.00735  0.11199  0.00370  0.00696  0.00709  0.11579  0.00922  0.00890  0.00741  0.11776  0.08359  0.00992  0.07318  0.06776  0.00331  0.00720  0.00733  0.09593  0.07019  0.00322  0.00703  0.00750  0.12056  0.00617  0.00739  0.00706  0.11681  0.00814  0.10584  0.07534  0.00290  0.00407  0.00666  0.09690  0.00999  0.00945  0.00996  0.02585  0.00959  0.00961  0.02726  0.00536  0.00794  0.00902  0.10521  0.00432  0.00489  0.00840  0.00756  0.00739  0.09504  0.00426  0.00687  0.00996  0.13947  0.00354  0.00407  0.00996  0.00684  0.00745  0.10083  0.00994  0.00817  0.00245  0.00571  0.03457  0.00881  0.00767  0.01122  0.00920  0.03457  0.01102  0.00981  0.00000  0.03410  0.00000  0.00916
syst_unc_trig_dn          =  0.00336  0.00701  0.00723  0.10988  0.06541  0.00298  0.00701  0.00735  0.11199  0.00370  0.00696  0.00709  0.11579  0.00922  0.00890  0.00741  0.11776  0.08359  0.00992  0.07318  0.06776  0.00331  0.00720  0.00733  0.09593  0.07019  0.00322  0.00703  0.00750  0.12056  0.00617  0.00739  0.00706  0.11681  0.00814  0.10584  0.07534  0.00290  0.00407  0.00666  0.09690  0.00999  0.00945  0.00996  0.02585  0.00959  0.00961  0.02726  0.00536  0.00794  0.00902  0.10521  0.00432  0.00489  0.00840  0.00756  0.00739  0.09504  0.00426  0.00687  0.00996  0.13947  0.00354  0.00407  0.00996  0.00684  0.00745  0.10083  0.00994  0.00817  0.00245  0.00571  0.03457  0.00881  0.00767  0.01122  0.00920  0.03457  0.01102  0.00981  0.00000  0.03410  0.00000  0.00916
syst_unc_btag_up          =  0.01081  0.01330  0.01401  0.01055  0.01006  0.01036  0.01181  0.01299  0.01200  0.01127  0.01075  0.01168  0.01169  0.04303  0.00962  0.01086  0.01003  0.01302  0.03859  0.01504  0.01142  0.02785  0.02800  0.02804  0.03192  0.02999  0.02729  0.02353  0.02687  0.03204  0.03647  0.02670  0.03281  0.03373  0.02820  0.02587  0.02984  0.04170  0.04208  0.03493  0.04314  0.04193  0.05727  0.05765  0.04385  0.03557  0.04024  0.06893  0.00970  0.00862  0.02746  0.01060  0.01256  0.00638  0.01059  0.01418  0.01248  0.00712  0.03556  0.01649  0.03889  0.02846  0.02477  0.02485  0.00949  0.01799  0.03024  0.02324  0.00509  0.02274  0.03753  0.02221  0.11477  0.04836  0.01287  0.03594  0.02382  0.23115  0.01530  0.00185  0.00000  0.03410  0.00000  0.13494
syst_unc_btag_dn          =  0.01098  0.01351  0.01421  0.01072  0.01025  0.01054  0.01199  0.01321  0.01219  0.01151  0.01095  0.01187  0.01190  0.04332  0.00980  0.01106  0.01024  0.01320  0.03873  0.01536  0.01165  0.02752  0.02772  0.02774  0.03165  0.02961  0.02702  0.02335  0.02668  0.03146  0.03602  0.02643  0.03231  0.03321  0.02827  0.02581  0.02964  0.04067  0.04094  0.03433  0.04200  0.04062  0.05663  0.05579  0.04237  0.03562  0.03953  0.06683  0.00986  0.00872  0.02765  0.01064  0.01280  0.00662  0.01072  0.01456  0.01269  0.00723  0.03519  0.01656  0.03788  0.02975  0.02454  0.02490  0.00976  0.01772  0.03005  0.02311  0.00589  0.02264  0.03733  0.02207  0.10826  0.04741  0.01268  0.03525  0.02426  0.20359  0.01578  0.00168  0.00000  0.03272  0.00000  0.12486
syst_unc_bmistag_up       =  0.02538  0.02370  0.02724  0.03120  0.03307  0.02529  0.02390  0.02646  0.02630  0.02224  0.02515  0.02684  0.03039  0.00806  0.02984  0.02366  0.02784  0.03355  0.00395  0.02956  0.02375  0.02232  0.02751  0.04952  0.03747  0.03503  0.02380  0.04666  0.02688  0.04599  0.01715  0.02721  0.02809  0.02691  0.03379  0.03162  0.04515  0.05408  0.06780  0.06570  0.06177  0.09652  0.06652  0.07359  0.09485  0.11454  0.11843  0.07672  0.01926  0.03262  0.02072  0.01078  0.02616  0.02891  0.01734  0.02113  0.01681  0.03339  0.01253  0.05331  0.01704  0.09404  0.02006  0.04741  0.03069  0.04058  0.00447  0.01295  0.00641  0.03094  0.16161  0.09792  0.00542  0.10223  0.16489  0.04601  0.00911  0.00885  0.01211  0.00789  0.00000  0.10665  0.00000  0.01223
syst_unc_bmistag_dn       =  0.02567  0.02399  0.02759  0.03162  0.03356  0.02560  0.02420  0.02684  0.02669  0.02255  0.02548  0.02720  0.03084  0.00805  0.03035  0.02401  0.02818  0.03410  0.00391  0.03005  0.02419  0.02161  0.02691  0.04789  0.03783  0.03409  0.02310  0.04464  0.02574  0.04341  0.01744  0.02617  0.02743  0.02589  0.03464  0.03079  0.04424  0.05108  0.06425  0.06189  0.05855  0.09089  0.06242  0.07434  0.08498  0.10732  0.11030  0.07443  0.01973  0.03333  0.02126  0.01108  0.02659  0.02946  0.01781  0.02162  0.01714  0.03409  0.01279  0.05394  0.01732  0.09491  0.02032  0.04840  0.03129  0.04092  0.00450  0.01335  0.00644  0.03143  0.14685  0.09891  0.00543  0.09179  0.15390  0.04657  0.00917  0.00891  0.01225  0.00857  0.00000  0.09910  0.00000  0.01234
