luminosity = 2153.74
channels = 45
sample = zinv

channel                   =     bin1     bin2     bin3     bin4     bin5     bin6     bin7     bin8     bin9    bin10    bin11    bin12    bin13    bin14    bin15    bin16    bin17    bin18    bin19    bin20    bin21    bin22    bin23    bin24    bin25    bin26    bin27    bin28    bin29    bin30    bin31    bin32    bin33    bin34    bin35    bin36    bin37    bin38    bin39    bin40    bin41    bin42    bin43    bin44    bin45

rate                      =  5.51638  2.12618  0.88239  0.47218  1.64047  2.15182  1.37991  0.85656  0.27062  1.11569  2.65092  1.03460  0.43042  0.25211  0.10040  0.56600  0.42171  0.28894  0.15493  0.31382  0.66368  0.24449  0.07129  0.13083  0.62748  0.15542  0.12045  0.46485  0.32233  0.25985  0.11351  0.75132  0.12544  0.02164  0.00681  0.11816  0.12093  0.05569  0.02633  0.10852  0.02043  0.04676  0.02724  0.02724  0.00000

cs_event                  =      451      175       81       50      139      170      114      100       32       93      283       89       37       21       14       45       33       24       20       27       66       20        9       12       55       21       10       42       29       23       14       70       10        2        1        9        9        7        3       10        3        6        3        3        0
avg_weight                =  0.01223  0.01215  0.01089  0.00944  0.01180  0.01266  0.01210  0.00857  0.00846  0.01200  0.00937  0.01162  0.01163  0.01201  0.00717  0.01258  0.01278  0.01204  0.00775  0.01162  0.01006  0.01222  0.00792  0.01090  0.01141  0.00740  0.01205  0.01107  0.01111  0.01130  0.00811  0.01073  0.01254  0.01082  0.00681  0.01313  0.01344  0.00796  0.00878  0.01085  0.00681  0.00779  0.00908  0.00908  0.00908

stat_unc_up = xxx yy zz
stat_unc_dn = xxx yy zz

syst_unc_shape_central_up =  0.11251  0.16599  0.22813  0.35039  0.15167  0.19797  0.25507  0.36977  0.24012  0.29777  0.46528  0.40438  0.42277  0.44952  0.53040  0.41764  0.43695  0.46546  0.53166  0.47738  0.60080  0.54992  0.56903  0.63325  0.39951  0.41698  0.45599  0.41230  0.43150  0.46894  0.44837  0.60589  0.55668  0.57052  0.60227  0.56449  0.58329  0.61802  0.59433  0.66746  0.67191  0.72499  0.42898  0.63626  0.63626
syst_unc_shape_central_dn =  0.11251  0.16599  0.22813  0.35039  0.15167  0.19797  0.25507  0.36977  0.24012  0.29777  0.46528  0.40438  0.42277  0.44952  0.53040  0.41764  0.43695  0.46546  0.53166  0.47738  0.60080  0.54992  0.56903  0.63325  0.39951  0.41698  0.45599  0.41230  0.43150  0.46894  0.44837  0.60589  0.55668  0.57052  0.60227  0.56449  0.58329  0.61802  0.59433  0.66746  0.67191  0.72499  0.42898  0.63626  0.63626
