luminosity = 2153.74
channels = 45
sample = zinv

channel                   =     bin1     bin2     bin3     bin4     bin5     bin6     bin7     bin8     bin9    bin10    bin11    bin12    bin13    bin14    bin15    bin16    bin17    bin18    bin19    bin20    bin21    bin22    bin23    bin24    bin25    bin26    bin27    bin28    bin29    bin30    bin31    bin32    bin33    bin34    bin35    bin36    bin37    bin38    bin39    bin40    bin41    bin42    bin43    bin44    bin45
syst_unc_shape_stat_up    =  0.16100  0.18500  0.38600  0.53500  0.22300  0.21900  0.39000  0.53500  0.44100  0.44800  0.53400  0.62000  0.62000  0.62000  0.62000  0.62000  0.62000  0.62000  0.62000  0.62000  0.62000  0.99950  0.99950  0.99950  0.56100  0.56100  0.56100  0.56100  0.56100  0.56100  0.56100  0.56100  0.62000  0.62000  0.84800  0.62000  0.62000  0.62000  0.62000  0.62000  0.99950  0.99950  0.84800  0.84800  0.84800
syst_unc_shape_stat_dn    =  0.16100  0.18500  0.38600  0.53500  0.22300  0.21900  0.39000  0.53500  0.44100  0.44800  0.53400  0.62000  0.62000  0.62000  0.62000  0.62000  0.62000  0.62000  0.62000  0.62000  0.62000  0.99950  0.99950  0.99950  0.56100  0.56100  0.56100  0.56100  0.56100  0.56100  0.56100  0.56100  0.62000  0.62000  0.84800  0.62000  0.62000  0.62000  0.62000  0.62000  0.99950  0.99950  0.84800  0.84800  0.84800
syst_unc_jeu_up           =  0.08412  0.04900  0.12051  0.05678  0.09116  0.12560  0.04143  0.05531  0.15554  0.13223  0.06468  0.12188  0.05232  0.11876  0.28342  0.11088  0.07400  0.03407  0.05178  0.23243  0.05912  0.08728  0.40286  0.18991  0.12465  0.12283  0.05654  0.17626  0.23380  0.22596  0.27205  0.02129  0.00000  0.00000  0.00000  0.13579  0.06634  0.11682  0.25867  0.21061  0.00000  0.14565  0.44641  0.25000  0.25000
syst_unc_jeu_dn           =  0.08412  0.04900  0.12051  0.05678  0.09116  0.12560  0.04143  0.05531  0.15554  0.13223  0.06468  0.12188  0.05232  0.11876  0.28342  0.11088  0.07400  0.03407  0.05178  0.23243  0.05912  0.08728  0.40286  0.18991  0.12465  0.12283  0.05654  0.17626  0.23380  0.22596  0.27205  0.02129  0.00000  0.00000  0.00000  0.13579  0.06634  0.11682  0.25867  0.21061  0.00000  0.14565  0.44641  0.25000  0.25000
syst_unc_meu_up           =  0.01205  0.01120  0.09883  0.02623  0.03573  0.02773  0.04028  0.10619  0.05205  0.05390  0.04621  0.02686  0.03057  0.10332  0.23965  0.03335  0.03693  0.07910  0.09574  0.10174  0.07000  0.03282  0.34739  0.16899  0.13967  0.16733  0.05654  0.03903  0.02207  0.19047  0.06678  0.02943  0.18568  0.00000  0.00000  0.07415  0.02260  0.23365  0.24711  0.00000  0.33333  0.00000  0.00000  0.25000  0.25000
syst_unc_meu_dn           =  0.01205  0.01120  0.09883  0.02623  0.03573  0.02773  0.04028  0.10619  0.05205  0.05390  0.04621  0.02686  0.03057  0.10332  0.23965  0.03335  0.03693  0.07910  0.09574  0.10174  0.07000  0.03282  0.34739  0.16899  0.13967  0.16733  0.05654  0.03903  0.02207  0.19047  0.06678  0.02943  0.18568  0.00000  0.00000  0.07415  0.02260  0.23365  0.24711  0.00000  0.33333  0.00000  0.00000  0.25000  0.25000
syst_unc_scale_up         =  0.00962  0.00679  0.01109  0.00688  0.00770  0.01036  0.01466  0.00318  0.03518  0.01162  0.00204  0.00826  0.01169  0.00140  0.01208  0.00488  0.01188  0.01641  0.00557  0.02165  0.01301  0.00931  0.04083  0.01065  0.02117  0.04889  0.04061  0.03072  0.00609  0.01589  0.03505  0.01199  0.01417  0.02843  0.02711  0.01942  0.00711  0.01567  0.00722  0.00430  0.01218  0.01492  0.04061  0.03772  0.03772
syst_unc_scale_dn         =  0.00962  0.00679  0.01109  0.00688  0.00770  0.01036  0.01466  0.00318  0.03518  0.01162  0.00204  0.00826  0.01169  0.00140  0.01208  0.00488  0.01188  0.01641  0.00557  0.02165  0.01301  0.00931  0.04083  0.01065  0.02117  0.04889  0.04061  0.03072  0.00609  0.01589  0.03505  0.01199  0.01417  0.02843  0.02711  0.01942  0.00711  0.01567  0.00722  0.00430  0.01218  0.01492  0.04061  0.03772  0.03772
syst_unc_pdf_up           =  0.00773  0.01979  0.01239  0.01011  0.00978  0.00530  0.02055  0.01659  0.01644  0.01732  0.01000  0.20883  0.12157  0.01943  0.01399  0.02896  0.02298  0.01680  0.01750  0.01865  0.00679  0.03369  0.02275  0.01736  0.01615  0.00521  0.07777  0.02255  0.21643  0.00196  0.02645  0.02115  0.02959  0.03215  0.03953  0.01783  0.03308  0.01747  0.02488  0.00228  0.03588  0.02141  0.03858  0.01282  0.01282
syst_unc_pdf_dn           =  0.00773  0.01979  0.01239  0.01011  0.00978  0.00530  0.02055  0.01659  0.01644  0.01732  0.01000  0.20883  0.12157  0.01943  0.01399  0.02896  0.02298  0.01680  0.01750  0.01865  0.00679  0.03369  0.02275  0.01736  0.01615  0.00521  0.07777  0.02255  0.21643  0.00196  0.02645  0.02115  0.02959  0.03215  0.03953  0.01783  0.03308  0.01747  0.02488  0.00228  0.03588  0.02141  0.03858  0.01282  0.01282
syst_unc_trig_up          =  0.01570  0.01095  0.01098  0.01105  0.01570  0.01095  0.01099  0.01105  0.01133  0.01101  0.01105  0.01570  0.01095  0.01099  0.01105  0.01570  0.01095  0.01099  0.01105  0.01143  0.01105  0.01449  0.01095  0.01105  0.01570  0.01095  0.01099  0.01570  0.01095  0.01101  0.01188  0.01103  0.01570  0.01095  0.01095  0.01570  0.01095  0.01098  0.01095  0.01103  0.01570  0.01102  0.01449  0.01216  0.01216
syst_unc_trig_dn          =  0.01570  0.01095  0.01098  0.01105  0.01570  0.01095  0.01099  0.01105  0.01133  0.01101  0.01105  0.01570  0.01095  0.01099  0.01105  0.01570  0.01095  0.01099  0.01105  0.01143  0.01105  0.01449  0.01095  0.01105  0.01570  0.01095  0.01099  0.01570  0.01095  0.01101  0.01188  0.01103  0.01570  0.01095  0.01095  0.01570  0.01095  0.01098  0.01095  0.01103  0.01570  0.01102  0.01449  0.01216  0.01216


