luminosity = 2262
channels = 45
sample = zinv

channel                   =     bin1     bin2     bin3     bin4     bin5     bin6     bin7     bin8     bin9    bin10    bin11    bin12    bin13    bin14    bin15    bin16    bin17    bin18    bin19    bin20    bin21    bin22    bin23    bin24    bin25    bin26    bin27    bin28    bin29    bin30    bin31    bin32    bin33    bin34    bin35    bin36    bin37    bin38    bin39    bin40    bin41    bin42    bin43    bin44    bin45

rate                      =  5.74161  2.10602  1.00846  0.54104  1.95782  2.24115  1.51197  0.83649  0.36105  1.26153  2.92550  1.26711  0.48238  0.23068  0.12644  0.45071  0.51748  0.32599  0.19074  0.33909  0.62668  0.19053  0.09415  0.10499  0.64517  0.19180  0.08192  0.49811  0.36530  0.26728  0.13106  0.80316  0.11579  0.03851  0.01396  0.10620  0.08170  0.04610  0.02796  0.14325  0.03177  0.02540  0.06274  0.02001  0.00132

cs_event                  =     4159     1615      887      536     1569     1664     1152      807      368      951     2826      950      346      210      139      346      392      272      193      304      667      153       78      119      499      204       86      421      308      286      143      804       91       45       15       94       69       60       34      147       30       36       69       26        1
avg_weight                =  0.00138  0.00130  0.00114  0.00101  0.00125  0.00135  0.00131  0.00104  0.00098  0.00133  0.00104  0.00133  0.00139  0.00110  0.00091  0.00130  0.00132  0.00120  0.00099  0.00112  0.00094  0.00125  0.00121  0.00088  0.00129  0.00094  0.00095  0.00118  0.00119  0.00093  0.00092  0.00100  0.00127  0.00086  0.00093  0.00113  0.00118  0.00077  0.00082  0.00097  0.00106  0.00071  0.00091  0.00077  0.00132

stat_unc_up = xxx yy zz
stat_unc_dn = xxx yy zz

syst_unc_meu_dn           =  0.01846  0.04079  0.03760  0.06325  0.00535  0.02027  0.04664  0.05238  0.05710  0.02020  0.04131  0.01777  0.02948  0.05410  0.04741  0.01832  0.03669  0.07014  0.06721  0.01126  0.03822  0.02581  0.06886  0.03711  0.02852  0.07319  0.03869  0.00570  0.01172  0.05357  0.02331  0.02815  0.04736  0.09341  0.21493  0.02478  0.04432  0.03060  0.01021  0.01748  0.07143  0.02436  0.01239  0.05943  0.05943
syst_unc_scale_up         =  0.01068  0.00248  0.00076  0.00146  0.01620  0.00740  0.01041  0.00367  0.04066  0.00597  0.00308  0.00774  0.00148  0.00267  0.00731  0.00874  0.00190  0.00944  0.00094  0.00960  0.00252  0.01465  0.00107  0.00927  0.02945  0.04082  0.01774  0.02390  0.00723  0.01890  0.04689  0.01365  0.01980  0.02197  0.02124  0.01879  0.00177  0.01427  0.02496  0.02260  0.02827  0.01186  0.04911  0.04931  0.12497
syst_unc_scale_dn         =  0.01068  0.00248  0.00076  0.00146  0.01620  0.00740  0.01041  0.00367  0.04066  0.00597  0.00308  0.00774  0.00148  0.00267  0.00731  0.00874  0.00190  0.00944  0.00094  0.00960  0.00252  0.01465  0.00107  0.00927  0.02945  0.04082  0.01774  0.02390  0.00723  0.01890  0.04689  0.01365  0.01980  0.02197  0.02124  0.01879  0.00177  0.01427  0.02496  0.02260  0.02827  0.01186  0.04911  0.04931  0.12497
syst_unc_pdf_up           =  0.01977  0.01123  0.00593  0.00438  0.00644  0.00284  0.00009  0.02177  0.00400  0.01425  0.06027  0.00604  0.09746  0.09365  0.00669  0.00667  0.00034  0.01359  0.03828  0.00865  0.03998  0.01871  0.06123  0.01425  0.01005  0.01079  0.01055  0.01931  0.01011  0.11610  0.01023  0.06301  0.02525  0.27070  0.02815  0.02496  0.00992  0.03361  0.01370  0.31230  0.03384  0.02131  0.03921  0.00447  0.01308
syst_unc_pdf_dn           =  0.01977  0.01123  0.00593  0.00438  0.00644  0.00284  0.00009  0.02177  0.00400  0.01425  0.06027  0.00604  0.09746  0.09365  0.00669  0.00667  0.00034  0.01359  0.03828  0.00865  0.03998  0.01871  0.06123  0.01425  0.01005  0.01079  0.01055  0.01931  0.01011  0.11610  0.01023  0.06301  0.02525  0.27070  0.02815  0.02496  0.00992  0.03361  0.01370  0.31230  0.03384  0.02131  0.03921  0.00447  0.01308
syst_unc_trig_up          =  0.01570  0.01095  0.01099  0.01105  0.01570  0.01095  0.01099  0.01105  0.01186  0.01101  0.01105  0.01570  0.01095  0.01099  0.01105  0.01570  0.01095  0.01099  0.01105  0.01119  0.01105  0.01475  0.01095  0.01105  0.01570  0.01095  0.01100  0.01570  0.01095  0.01101  0.01206  0.01103  0.01570  0.01095  0.01101  0.01570  0.01095  0.01100  0.01226  0.01103  0.01428  0.01100  0.01301  0.01289  0.01570
syst_unc_trig_dn          =  0.01570  0.01095  0.01099  0.01105  0.01570  0.01095  0.01099  0.01105  0.01186  0.01101  0.01105  0.01570  0.01095  0.01099  0.01105  0.01570  0.01095  0.01099  0.01105  0.01119  0.01105  0.01475  0.01095  0.01105  0.01570  0.01095  0.01100  0.01570  0.01095  0.01101  0.01206  0.01103  0.01570  0.01095  0.01101  0.01570  0.01095  0.01100  0.01226  0.01103  0.01428  0.01100  0.01301  0.01289  0.01570
syst_unc_btag_up          =  0.02499  0.02075  0.01742  0.01632  0.02977  0.02928  0.02607  0.01994  0.03454  0.03448  0.03097  0.06451  0.06438  0.05353  0.05616  0.07557  0.06701  0.06877  0.06475  0.07624  0.07988  0.11291  0.09175  0.10754  0.02458  0.02776  0.01929  0.02229  0.02227  0.03163  0.01985  0.02239  0.06341  0.06031  0.08406  0.06134  0.05526  0.06139  0.05149  0.06421  0.07367  0.12925  0.02390  0.06866  0.02945
syst_unc_btag_dn          =  0.02601  0.02173  0.01832  0.01713  0.03099  0.03033  0.02703  0.02091  0.03617  0.03563  0.03201  0.06326  0.06327  0.05296  0.05554  0.07385  0.06545  0.06731  0.06356  0.07412  0.07764  0.10548  0.08678  0.10015  0.02583  0.02928  0.02001  0.02351  0.02349  0.03318  0.02079  0.02358  0.06250  0.05970  0.08139  0.06022  0.05472  0.06056  0.05225  0.06363  0.07017  0.12009  0.02504  0.06661  0.03132
syst_unc_bmistag_up       =  0.04165  0.04592  0.04875  0.04930  0.04260  0.04244  0.03959  0.03912  0.04092  0.04281  0.04639  0.04916  0.05773  0.07622  0.06778  0.03732  0.05067  0.04900  0.04876  0.05637  0.06560  0.08245  0.12561  0.08935  0.03293  0.03779  0.03992  0.03328  0.03890  0.03843  0.04985  0.04457  0.05320  0.08293  0.08135  0.05879  0.06148  0.07859  0.03601  0.06794  0.06660  0.09659  0.04537  0.03663  0.01279
syst_unc_bmistag_dn       =  0.04257  0.04694  0.04982  0.05037  0.04345  0.04330  0.04039  0.04000  0.04208  0.04367  0.04732  0.04647  0.05569  0.07226  0.06364  0.03619  0.04896  0.04763  0.04692  0.05377  0.06301  0.07342  0.10826  0.08518  0.03400  0.03904  0.04133  0.03442  0.04002  0.03970  0.05111  0.04583  0.05277  0.07942  0.07872  0.05485  0.05584  0.07284  0.03573  0.06394  0.06619  0.08435  0.04755  0.03791  0.01288
	
