luminosity = 12905.337800
channels = 59
sample = zinv

channel                   =     bin0     bin1     bin2     bin3     bin4     bin5     bin6     bin7     bin8     bin9    bin10    bin11    bin12    bin13    bin14    bin15    bin16    bin17    bin18    bin19    bin20    bin21    bin22    bin23    bin24    bin25    bin26    bin27    bin28    bin29    bin30    bin31    bin32    bin33    bin34    bin35    bin36    bin37    bin38    bin39    bin40    bin41    bin42    bin43    bin44    bin45    bin46    bin47    bin48    bin49    bin50    bin51    bin52    bin53    bin54    bin55    bin56    bin57    bin58
syst_unc_jeu_dn           =  0.09380  0.03126  0.07843  0.04549  0.12112  0.15073  0.16267  0.04749  0.01678  0.15233  0.09651  0.08560  0.10822  0.07270  0.10012  0.05765  0.08661  0.21482  0.15614  0.15215  0.12459  0.05044  0.09618  0.31016  0.07020  0.14747  0.22846  0.22742  0.12913  0.16553  0.18983  0.28925  0.21479  0.08555  0.06183  0.20383  0.14953  0.21879  0.17740  0.14594  0.22305  1.50328  0.09611  0.31659  0.16069  0.09770  0.20276  0.67332  0.10793  0.09259  0.58182  0.56503  0.49779  0.13706  0.17682  0.76372  0.17837  0.08387  0.08387
syst_unc_meu_up           =  0.03120  0.04263  0.04445  0.07490  0.01427  0.03665  0.09728  0.03967  0.04893  0.03704  0.03354  0.06782  0.04590  0.06593  0.04282  0.12719  0.00978  0.01726  0.06039  0.14110  0.15032  0.11648  0.08406  0.01696  0.06878  0.17038  0.06214  0.02965  0.03287  0.06528  0.08759  0.04507  0.00377  0.11132  0.06427  0.04949  0.08088  0.03200  0.04514  0.04240  0.08735  0.15561  0.09576  0.00965  0.02032  0.18166  0.06143  0.05053  0.03472  0.03205  0.16320  0.35398  0.05646  0.37276  0.39136  0.03094  0.01145  0.00355  0.00355
syst_unc_meu_dn           =  0.03120  0.04263  0.04445  0.07490  0.01427  0.03665  0.09728  0.03967  0.04893  0.03704  0.03354  0.06782  0.04590  0.06593  0.04282  0.12719  0.00978  0.01726  0.06039  0.14110  0.15032  0.11648  0.08406  0.01696  0.06878  0.17038  0.06214  0.02965  0.03287  0.06528  0.08759  0.04507  0.00377  0.11132  0.06427  0.04949  0.08088  0.03200  0.04514  0.04240  0.08735  0.15561  0.09576  0.00965  0.02032  0.18166  0.06143  0.05053  0.03472  0.03205  0.16320  0.35398  0.05646  0.37276  0.39136  0.03094  0.01145  0.00355  0.00355
syst_unc_scale_up         =  0.00065  0.00214  0.00588  0.01183  0.01279  0.01278  0.00429  0.01166  0.07357  0.00493  0.00760  0.01505  0.00537  0.01094  0.00320  0.02495  0.01196  0.00192  0.00183  0.00646  0.00553  0.00452  0.01531  0.02486  0.00968  0.02039  0.05222  0.00304  0.01892  0.03229  0.01936  0.01772  0.00622  0.00125  0.01071  0.01325  0.08216  0.02633  0.01511  0.02046  0.00237  0.02426  0.01774  0.01539  0.01545  0.01205  0.08312  0.00944  0.03226  0.04938  0.06654  0.06587  0.02290  0.10307  0.02559  0.04111  0.07354  0.05866  0.03005
syst_unc_scale_dn         =  0.00065  0.00214  0.00588  0.01183  0.01279  0.01278  0.00429  0.01166  0.07357  0.00493  0.00760  0.01505  0.00537  0.01094  0.00320  0.02495  0.01196  0.00192  0.00183  0.00646  0.00553  0.00452  0.01531  0.02486  0.00968  0.02039  0.05222  0.00304  0.01892  0.03229  0.01936  0.01772  0.00622  0.00125  0.01071  0.01325  0.08216  0.02633  0.01511  0.02046  0.00237  0.02426  0.01774  0.01539  0.01545  0.01205  0.08312  0.00944  0.03226  0.04938  0.06654  0.06587  0.02290  0.10307  0.02559  0.04111  0.07354  0.05866  0.03005
syst_unc_pdf_up           =  0.01398  0.01105  0.00588  0.01657  0.01089  0.01264  0.00474  0.00098  0.00705  0.00668  0.00923  0.01046  0.01696  0.00521  0.01159  0.01045  0.01876  0.01035  0.00401  0.01420  0.00394  0.01249  0.01419  0.01386  0.01810  0.01162  0.02159  0.01055  0.01612  0.00165  0.03389  0.06691  0.01662  0.01726  0.01845  0.01275  0.02463  0.00508  0.00142  0.01865  0.01675  0.00850  0.02121  0.01471  0.01646  0.03092  0.02675  0.00123  0.04688  0.02199  0.01514  0.00267  0.00387  0.00691  0.00573  0.02941  0.02590  0.01917  0.02087
syst_unc_pdf_dn           =  0.01398  0.01105  0.00588  0.01657  0.01089  0.01264  0.00474  0.00098  0.00705  0.00668  0.00923  0.01046  0.01696  0.00521  0.01159  0.01045  0.01876  0.01035  0.00401  0.01420  0.00394  0.01249  0.01419  0.01386  0.01810  0.01162  0.02159  0.01055  0.01612  0.00165  0.03389  0.06691  0.01662  0.01726  0.01845  0.01275  0.02463  0.00508  0.00142  0.01865  0.01675  0.00850  0.02121  0.01471  0.01646  0.03092  0.02675  0.00123  0.04688  0.02199  0.01514  0.00267  0.00387  0.00691  0.00573  0.02941  0.02590  0.01917  0.02087
syst_unc_trig_up          =  0.00410  0.00677  0.01035  0.01117  0.00451  0.00716  0.01020  0.01118  0.00699  0.00915  0.00997  0.01092  0.00399  0.00673  0.01048  0.01145  0.00482  0.00725  0.01026  0.01134  0.00907  0.00979  0.01085  0.00505  0.00565  0.01070  0.00629  0.00837  0.00490  0.00817  0.01171  0.01209  0.00468  0.00743  0.01076  0.01200  0.00770  0.00960  0.01035  0.01150  0.00504  0.00797  0.01171  0.00520  0.00822  0.01214  0.00713  0.00881  0.01133  0.00404  0.00683  0.00663  0.01027  0.00984  0.00818  0.00781  0.01130  0.00576  0.00844
syst_unc_trig_dn          =  0.00410  0.00677  0.01035  0.01117  0.00451  0.00716  0.01020  0.01118  0.00699  0.00915  0.00997  0.01092  0.00399  0.00673  0.01048  0.01145  0.00482  0.00725  0.01026  0.01134  0.00907  0.00979  0.01085  0.00505  0.00565  0.01070  0.00629  0.00837  0.00490  0.00817  0.01171  0.01209  0.00468  0.00743  0.01076  0.01200  0.00770  0.00960  0.01035  0.01150  0.00504  0.00797  0.01171  0.00520  0.00822  0.01214  0.00713  0.00881  0.01133  0.00404  0.00683  0.00663  0.01027  0.00984  0.00818  0.00781  0.01130  0.00576  0.00844
syst_unc_btag_up          =  0.01371  0.01007  0.00685  0.00374  0.01758  0.01343  0.00959  0.00833  0.02074  0.02520  0.01997  0.01542  0.03390  0.02855  0.03226  0.02442  0.04080  0.03056  0.03420  0.03582  0.04099  0.04003  0.03916  0.05532  0.04326  0.05751  0.06264  0.05301  0.00868  0.01068  0.01168  0.01876  0.00692  0.00711  0.00379  0.01758  0.01626  0.00841  0.00800  0.01175  0.02393  0.03809  0.04702  0.03195  0.02799  0.02139  0.01800  0.02876  0.02932  0.06505  0.08117  0.05641  0.08240  0.01269  0.00234  0.02957  0.03506  0.05520  0.03407
syst_unc_btag_dn          =  0.01397  0.01029  0.00706  0.00400  0.01794  0.01374  0.00983  0.00854  0.02122  0.02557  0.02032  0.01572  0.03355  0.02842  0.03216  0.02447  0.04030  0.03020  0.03383  0.03560  0.04056  0.03941  0.03868  0.05355  0.04225  0.05498  0.05996  0.05129  0.00897  0.01088  0.01203  0.01970  0.00720  0.00725  0.00404  0.01774  0.01672  0.00888  0.00829  0.01199  0.02389  0.03776  0.04601  0.03192  0.02776  0.02124  0.01840  0.02857  0.02920  0.06234  0.07692  0.05567  0.07776  0.01313  0.00266  0.02910  0.03522  0.05289  0.03322
syst_unc_bmistag_up       =  0.02140  0.01960  0.02064  0.02342  0.02137  0.01962  0.02212  0.02354  0.02771  0.01747  0.02256  0.02361  0.02091  0.03760  0.01671  0.04669  0.01624  0.03385  0.02075  0.02047  0.02962  0.03062  0.03862  0.03942  0.08642  0.06793  0.05355  0.03570  0.01465  0.02239  0.01238  0.03029  0.01695  0.03202  0.02924  0.00651  0.00507  0.01299  0.01675  0.02272  0.01890  0.02453  0.00421  0.01717  0.02084  0.05670  0.03826  0.02781  0.04029  0.01517  0.04010  0.01889  0.05294  0.00981  0.03411  0.02204  0.02597  0.05219  0.06155
syst_unc_bmistag_dn       =  0.02165  0.01986  0.02088  0.02376  0.02165  0.01985  0.02238  0.02390  0.02817  0.01770  0.02281  0.02391  0.02061  0.03677  0.01669  0.04569  0.01601  0.03298  0.02050  0.02039  0.02887  0.02959  0.03745  0.03864  0.08161  0.06600  0.05266  0.03482  0.01491  0.02279  0.01268  0.03064  0.01722  0.03249  0.02973  0.00671  0.00524  0.01323  0.01707  0.02308  0.01864  0.02470  0.00429  0.01708  0.02085  0.05391  0.03744  0.02737  0.03943  0.01447  0.04060  0.01841  0.05240  0.01024  0.03483  0.02207  0.02627  0.05274  0.06230

