luminosity = 2262
channels = 37
sample = zinv

channel                   =     bin1     bin2     bin3     bin4     bin5     bin6     bin7     bin8     bin9    bin10    bin11    bin12    bin13    bin14    bin15    bin16    bin17    bin18    bin19    bin20    bin21    bin22    bin23    bin24    bin25    bin26    bin27    bin28    bin29    bin30    bin31    bin32    bin33    bin34    bin35    bin36    bin37

rate                      =  5.74161  2.10602  1.00846  0.54104  1.95782  2.24115  1.51197  0.83649  0.36105  1.26153  2.92550  1.37764  0.53046  0.25633  0.14499  0.49176  0.55221  0.35379  0.21945  0.36294  0.65738  0.66639  0.19619  0.09036  0.50408  0.37020  0.27496  0.13106  0.81328  0.13553  0.04864  0.02105  0.11839  0.09329  0.04928  0.02921  0.15658

cs_event                  =     4159     1615      887      536     1569     1664     1152      807      368      951     2826     1039      389      228      163      381      418      299      227      319      705      518      209       97      427      313      296      143      816      111       54       25      106       83       65       36      164
avg_weight                =  0.00138  0.00130  0.00114  0.00101  0.00125  0.00135  0.00131  0.00104  0.00098  0.00133  0.00104  0.00133  0.00136  0.00112  0.00089  0.00129  0.00132  0.00118  0.00097  0.00114  0.00093  0.00129  0.00094  0.00093  0.00118  0.00118  0.00093  0.00092  0.00100  0.00122  0.00090  0.00084  0.00112  0.00112  0.00076  0.00081  0.00095

stat_unc_up = xxx yy zz
stat_unc_dn = xxx yy zz

syst_unc_pdf_up           =  0.01977  0.01123  0.00593  0.00438  0.00644  0.00284  0.00009  0.02177  0.00400  0.01425  0.06027  0.00450  0.09945  0.08495  0.00241  0.00381  0.00093  0.01528  0.03564  0.00907  0.03346  0.01090  0.01076  0.00869  0.02002  0.00992  0.11740  0.01023  0.06019  0.02494  0.21216  0.02766  0.02571  0.01243  0.03106  0.01222  0.28569
syst_unc_pdf_dn           =  0.01977  0.01123  0.00593  0.00438  0.00644  0.00284  0.00009  0.02177  0.00400  0.01425  0.06027  0.00450  0.09945  0.08495  0.00241  0.00381  0.00093  0.01528  0.03564  0.00907  0.03346  0.01090  0.01076  0.00869  0.02002  0.00992  0.11740  0.01023  0.06019  0.02494  0.21216  0.02766  0.02571  0.01243  0.03106  0.01222  0.28569
syst_unc_trig_up          =  0.01570  0.01095  0.01099  0.01105  0.01570  0.01095  0.01099  0.01105  0.01186  0.01101  0.01105  0.01570  0.01095  0.01099  0.01105  0.01570  0.01095  0.01099  0.01105  0.01119  0.01105  0.01570  0.01095  0.01100  0.01570  0.01095  0.01101  0.01206  0.01103  0.01570  0.01095  0.01100  0.01570  0.01095  0.01100  0.01220  0.01103
syst_unc_trig_dn          =  0.01570  0.01095  0.01099  0.01105  0.01570  0.01095  0.01099  0.01105  0.01186  0.01101  0.01105  0.01570  0.01095  0.01099  0.01105  0.01570  0.01095  0.01099  0.01105  0.01119  0.01105  0.01570  0.01095  0.01100  0.01570  0.01095  0.01101  0.01206  0.01103  0.01570  0.01095  0.01100  0.01570  0.01095  0.01100  0.01220  0.01103
syst_unc_btag_up          =  0.02499  0.02075  0.01742  0.01632  0.02977  0.02928  0.02607  0.01994  0.03454  0.03448  0.03097  0.06800  0.06868  0.05684  0.06123  0.08044  0.06866  0.07078  0.07010  0.07694  0.08173  0.02489  0.02719  0.01900  0.02230  0.02209  0.03136  0.01985  0.02244  0.06535  0.06043  0.07944  0.06602  0.06143  0.06396  0.05499  0.06777
syst_unc_btag_dn          =  0.02601  0.02173  0.01832  0.01713  0.03099  0.03033  0.02703  0.02091  0.03617  0.03563  0.03201  0.06634  0.06708  0.05584  0.05989  0.07793  0.06686  0.06897  0.06820  0.07453  0.07921  0.02616  0.02871  0.01969  0.02352  0.02331  0.03289  0.02079  0.02364  0.06418  0.05921  0.07664  0.06425  0.06011  0.06289  0.05542  0.06673
syst_unc_bmistag_up       =  0.04165  0.04592  0.04875  0.04930  0.04260  0.04244  0.03959  0.03912  0.04092  0.04281  0.04639  0.05161  0.06047  0.08543  0.07542  0.03969  0.05269  0.05289  0.05262  0.06376  0.06646  0.03229  0.03837  0.04381  0.03322  0.03977  0.03832  0.04985  0.04480  0.05580  0.07593  0.07027  0.05569  0.06566  0.07443  0.03401  0.07208
syst_unc_bmistag_dn       =  0.04257  0.04694  0.04982  0.05037  0.04345  0.04330  0.04039  0.04000  0.04208  0.04367  0.04732  0.04868  0.05710  0.07913  0.07047  0.03836  0.05085  0.05121  0.05055  0.05896  0.06389  0.03335  0.03965  0.04546  0.03436  0.04093  0.03960  0.05111  0.04609  0.05571  0.07215  0.06905  0.05224  0.05987  0.06907  0.03374  0.06697


